url,url_len,dom,dom_len,is_ip,tld,tld_len,subdom_cnt,letter_cnt,digit_cnt,special_cnt,eq_cnt,qm_cnt,amp_cnt,dot_cnt,dash_cnt,under_cnt,letter_ratio,digit_ratio,spec_ratio,is_https,slash_cnt,entropy,path_len,query_len,label
http://www.ut.ac.ir/en,22,ut.ac.ir,8,0,ac.ir,5,1,15,0,7,0,0,0,3,0,0,0.681818182,0,0.318181818,0,3,3.594906618,3,0,0
http://www.mos.org/,19,mos.org,7,0,org,3,1,13,0,6,0,0,0,2,0,0,0.684210526,0,0.315789474,0,3,3.431623566,1,0,0
http://www.snk.sk/en/,21,snk.sk,6,0,sk,2,1,14,0,7,0,0,0,2,0,0,0.666666667,0,0.333333333,0,4,3.308751351,4,0,0
https://www.microsoft.com/netherlands/msnederland/,50,microsoft.com,13,0,com,3,1,42,0,8,0,0,0,2,0,0,0.84,0,0.16,1,5,4.09617463,25,0,0
https://maichindom.com/,23,maichindom.com,14,0,com,3,0,18,0,5,0,0,0,1,0,0,0.782608696,0,0.217391304,1,3,3.675310869,1,0,0
http://www.kaunoklinikos.lt/kk/en-GB/,37,kaunoklinikos.lt,16,0,lt,2,1,28,0,9,0,0,0,2,1,0,0.756756757,0,0.243243243,0,5,3.980157597,10,0,0
https://www.mrsu.ru/en/,23,mrsu.ru,7,0,ru,2,1,16,0,7,0,0,0,2,0,0,0.695652174,0,0.304347826,1,4,3.534219021,4,0,0
http://ivanovo.ac.ru/en,23,ac.ru,5,0,ru,2,1,17,0,6,0,0,0,2,0,0,0.739130435,0,0.260869565,0,3,3.795088586,3,0,0
https://www.hsu-hh.de/hsu/index.php,35,hsu-hh.de,9,0,de,2,1,26,0,9,0,0,0,3,1,0,0.742857143,0,0.257142857,1,4,3.685588017,14,0,0
http://www.hanyang.ac.kr/english/,33,hanyang.ac.kr,13,0,ac.kr,5,1,25,0,8,0,0,0,3,0,0,0.757575758,0,0.242424242,0,4,3.960320255,9,0,0
http://www.eurofins.fr/fr-fr.aspx,33,eurofins.fr,11,0,fr,2,1,25,0,8,0,0,0,3,1,0,0.757575758,0,0.242424242,0,3,3.945464952,11,0,0
https://iuse.it,15,iuse.it,7,0,it,2,0,11,0,4,0,0,0,1,0,0,0.733333333,0,0.266666667,1,2,3.189898095,0,0,0
